id,Task,Response,Score,Feedback
24,"“The best way for a society to prepare its young
people for leadership in government, industry, or
other fi elds is by instilling in them a sense of cooperation, not competition.”
Write a response in which you discuss the extent
to which you agree or disagree with the claim. In
developing and supporting your position, be sure
to address the most compelling reasons or examples that could be used to challenge your position.","Leadership is a tough task to master.To be a leader
means you must be better than a bunch of folks
and work with them to accomplise a greater goal.
Leadership in any feild needs cooperarive effort and
a leader must be able to inspire and make the human
resourse at hand to work better.In doing so there is a
far cry of an immense responsibility.I therefore stand
by taking help from inmates to do the same.
Like the say ‘when going gets tough the tough gets
going’.So there is no point of getting bogged down
rather plan more ways to get the work done and one
of the sureshot approach is by working together.I
believe to the core of my heart that there can be
nothing equal to cooperation and unity in a work
fi eld.As simple as it sounds if one can do a work in
hermit atmosphere at certain effi ciency, a number of
brains working toghether can be more effi cient.An
atmosphere where everyone works holding hands and
when someone falls there are people to make him
stand again makes a much better picture in my mind
everytime.
Compitition is not a evil it can inspire some
one to work better and looking to do better can be
considered good.But am afraid what fear here is that
when you compete with someone you set you limits
to that person.So once you do better than him/her
you tend to be relaxed and that is where when the
real evil creeps in.
With cooperation you have a goal and associated
effort to work for the same.Rather than individual
petty and competition to be better placed than
an friend it would be far more appreciable to keep
working for the common goal.That way even the
goal gets more defi ned at some level.So lets all drop
all this boundaries of indivisualism and keep working
for a common goal,and if you want to compete then
compete with you",3,"This response displays some competence in presenting a position according to the task directions, but
it earns a score of 3 because frequent minor errors
do interfere with clarity. The writer agrees with the
prompt that cooperation is more important, and it
explores some counterarguments in its assertion that
competition “can inspire some one to work better and
looking to do better can be considered good.” However, almost every sentence in this response has at
least one minor error. Some of the errors are typos or
minor mechanical problems like missing spaces after
punctuation. But other errors have more impact on
meaning. Missing words, incorrect sentence boundaries, and improper verb forms contribute to a lack of
clarity throughout the response. This sentence is typical of the limited language control seen throughout
this response: “So there is no point of getting bogged
down rather plan more ways to get the work done and
one of the sureshot approach is by working together.”
Because of its limited clarity, then, this response earns
a score of 3."
25,"“The best way for a society to prepare its young
people for leadership in government, industry, or
other fi elds is by instilling in them a sense of cooperation, not competition.”
Write a response in which you discuss the extent
to which you agree or disagree with the claim. In
developing and supporting your position, be sure
to address the most compelling reasons or examples that could be used to challenge your position.","Both a sense of cooperation and competition is
needed to be a good leader. If one is focused on
competition and ignores or refuse to work with others
then there would be problems for that leader. A
leader needs to be able to get along, cooperate and
know how to interact with others and allies. Treaties
and allies require cooperation. Trade agreements and
aid as well. A leader cannot achieve much alone.
Competition is also needed to encourage people
to be the best. If no one does there best to obtain a
goal how would a leader be chosen. What kind of
leader would that make? The best way for a society
to prepare its young is to instill a sense of both
competition and cooperation.",2,"This response earns a score of 2 for its seriously
limited development. There is a clear position on
the issue, as the writer argues that the “best way for
a society to prepare its young is to instill a sense
of both competition and cooperation.” However,
the writer provides few, if any, relevant reasons or
examples to support and develop this position. The
discussion of cooperation is supported only by very
generic assertions like the notion that “treaties
and allies require cooperation.” And there is even
less development in the discussion of competition.
In order to receive a higher score, the response
would need to provide more support for its position.
Language control in this response is adequate, but
the response earns a score of 2 because of its seriously
limited development."
26,"“The best way for a society to prepare its young
people for leadership in government, industry, or
other fi elds is by instilling in them a sense of cooperation, not competition.”
Write a response in which you discuss the extent
to which you agree or disagree with the claim. In
developing and supporting your position, be sure
to address the most compelling reasons or examples that could be used to challenge your position.","Best way for a socity to prepare it’s young people for
leadership in government, industry, or other fi elds
is by instilling in them a sense of coopertion, not
competition. This statement is very true, whether
we mean leadership in government, industry, or any
other fi elds.
For leadership in government, industry, or other
fi elds some people argue that the best way for society
to prepare it’s young people is by instilling in them
a sense of cooperation. Other people argue that the
best way is through competition. It can be diffi cult
for many people to decide between these two choices.
There are many arguments that support both sides. I
fully agree that the best way is to instilling in them a
sense of cooperation, not competition.",1,"Best way for a socity to prepare it’s young people for
leadership in government, industry, or other fi elds
is by instilling in them a sense of coopertion, not
competition. This statement is very true, whether
we mean leadership in government, industry, or any
other fields.
For leadership in government, industry, or other
fi elds some people argue that the best way for society
to prepare it’s young people is by instilling in them
a sense of cooperation. Other people argue that the
best way is through competition. It can be diffi cult
for many people to decide between these two choices.
There are many arguments that support both sides. I
fully agree that the best way is to instilling in them a
sense of cooperation, not competition.
Reader Commentary for Essay Response – Score 1
This response earns a score of 1 because it
demonstrates little evidence of the ability to develop
a position on the issue. Instead of developing a
position, the response simply repeats the language
of the prompt, adding some generic language that
could be applied to any Issue prompt. For example,
consider these sentences: “It can be diffi cult for many
people to decide between these two choices. There
are many arguments that support both sides.” This is
a totally generic analytical framework that has not
been fi lled in with any specifi c exploration related to
this prompt. The writer is clearly making an attempt
to respond to the prompt, and the fi nal sentence
does seem to indicate a position on the issue. So the
response does not merit a score of 0. However, the
vast majority of the response is simply repetition of
language from the prompt and/or generic material.
Thus, it earns a score of 1. "
27,"The best way to teach is to praise positive actions and ignore negative ones. Discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position.","The recommendation presents a view that I would agree is successful most of the time, but one that I cannot fully support due to the ""all or nothing"" impression it gives.

Certainly as an educator I agree fully that the best way to elicit positive response from students is to make use of students' positive energy and then encourage actions that you would like to see repeated.
It is human nature that we all want to be accepted and achieve on some level, and when people in authority provide feedback that we have done something well, the drive to repeat the action that was praised is bound to be particularly strong.

This blanket statement would obviously pay dividends in situations in which a teacher desires to have students repeat particular behaviors.
For example, if an educator is attempting to teach students proper classroom etiquette, it would be appropriate to openly praise a student who raises his or her hand when wishing to speak or address the class.
In such cases, the teacher may also help shape positive behaviors by ignoring a student who is trying to interject without approval from the teacher.
In fact, the decision to ignore students who are exhibiting inappropriate behaviors of this type could work very well in this situation, as the stakes are not very high and the intended outcome can likely be achieved by such a method.
However, it is important to note here that this tactic would only be effective in such a ""low-stakes"" situation, as when a student speaks without raising her hand first.
As we will discuss below, ignoring a student who hits another student, or engages in more serious misbehavior, would not be effective or prudent.

To expand on this point, it is important for teachers to be careful when working with a second half of this statement, only ignoring negative actions that are not serious.
Take for instance a student who is misbehaving just by chatting with a fellow classmate.
This student might not be presenting much of a problem and may be simply seeking attention.
Ignoring the student might, in fact, be the best solution.
Now assume the negative action is the improper administering of chemicals in a science experiment or the bullying of a fellow student.
To ignore these negative actions would be absurd and negligent.
Now you are allowing a problem to persist, one that could potentially lead to much bigger and more dangerous issues.
In a more serious situation addressing the negative actions quickly and properly could stop the problem in its tracks.
It is for reasons like this that I do not advocate the idea that a teacher can be successful by simply ignoring negative actions.

I do, however, greatly support the idea that the central focus of teaching should be to build on and encourage positive actions.
However, the author's encompasing statement leaves too many negative possibilities for the classroom.
Perhaps a better way to phrase this statement would be to say, ""The best way to teach is to praise positive actions and ignore negative ones that are not debilitating to class efficiency or the safety of any individual"".

Thus, in the original statement, there are indeed some good intentions, and there could be a lot of merit in adopting its basic principles.
Data proves that positive support can substantially increase motivation and desire in students and contribute to positive achievements.
In fact, most studies of teaching efficiency indicate that praising positive actions and ignoring negative ones can create a more stable and efficient classroom.
It needs to be stressed, however, that this tool is only effective at certain levels of misbehavior.
As mentioned above, when a behavior is precipitated by feelings of revenge, power or total self-worthlessness, this methodology will likely not work.
It is likely to be very successful, however, when the drive behind the misbehavior is simple attention seeking.
In many of these instances, if the teacher demonstrates clearly that inappropriate behavior does not result in the gaining of attention, students are more likely to seek attention by behaving properly.
Should the student choose this path, then the ignoring has worked and when the positive behavior is exhibited, then the teacher can utilize the first part of the theory and support or praise this behavior.
Now it is much more likely to be repeated.
If the student does not choose this path and instead elects to raise the actions to a higher level that presents a more serious issue, then ignorance alone cannot work, and other methods must be employed.

In conclusion, one can appreciate the credo expressed in this instance, but surely, we all can see the potential error of following it through to the extreme.",6,
28,"The best way to teach is to praise positive actions and ignore negative ones. Discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position.","I partially agree with the statement ""The best way to teach is to praise positive actions and ignore negative ones"".
Children should be rewarded when they perform well;
however, they should bot be ignored for performing sub-optimally.
For purposes of this essay, the term ""actions"" is defined as behaviors within the classroom.

Utilizing positive reinforcements, such as tangible rewards, can be a good method to teach children.
If the teacher praises children for actions that are desirable, then the children are more likely to repeat those actions.
For example, a student who completes an assignment on time and does a good job is likely to want to do a good job on the next assignment if he gets positive feedback.
Likewise, the children who are not currently engaging in the desirable actions may be more inclined to do so in order to receive the positive reinforcement.

Conversely, children should not be ignored for negative actions.
If a child is not exhibiting appropriate behavior in the classroom, then it is the teacher's responsibility to encourage the child to perform optimally.
Ignoring something doesn't make it go away, actions and consequences do.
A student who is being disruptive in class will continue to be disruptive unless the teacher does something about it.
However, the teacher's actions need to be appropriate.

Before the teacher attempts to modify a child's behavior, the teacher needs to try and identify the reason behind the behavior.
For instance, children who leave their seats often, stare into space, or call out of turn may be initially viewed as having poor behavior.
However, the teacher may suspect that the child has an attentional problem, and request that child be tested.
If the child does not have an attentional problem, then the teacher can work with a related service, such as occupational therapy, to alter the classroom environment in order to cater to the needs of the child.
For instance, the teacher could remove some of the stimulating bulletin board displays to make the room more calming to the child.
If the child becomes more attentive in class then the teacher was able to assist the child without scorning them or ignoring them.
The teacher met the needs of the child and created and environment to enable the child and created an environment to enable the child to optimally perform in the educational setting.

On the other hand, if the child is tested and does not have any areas of concern that may be impacting the educational performance in the classroom, then the negative behavior may strictly be due to defiance.
In such a case, the teacher still should bot ignore the child, because the negative actions may hinder the learning opportunity for the remaining children in the class.
As a result, a child who is being disruptive to the learning process of the class should be set apart from the class so that they do not receive the positive reinforcement of peer attention.

The teacher should not ignore the student who is misbehaving, but that does not mean that the teacher just needs to punish.
It is better to address the child privately and make sure the child is aware of the negative actions.
Once the child is aware, then the teacher should once again try to determine the reason why the child is behaving in a negative manner.
Perhaps the child's parents are in the middle of a divorce and the child is outwardly expressing his frustration in the classroom.
Or the academic content of the class may not be challenging enough for the child and so he is misbehaving out of boredom.
Whatever the reason behind the behavior, the hey factor is that the teacher works with the child to try and identify it,
Simply punishing or ignoring the child would not solve the problem, whereas working to create a plan for success in the classroom would.
Likewise, rather than punishing and defeating the child, the teacher is working with and empowering the child; a much more positive outcome to the situation.",5,
29,"The best way for a society to prepare its young people for leadership in government, industry, or other fields is by instilling in them a sense of cooperation, not competition. Discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position.","Whenever people argue that history is a worthless subject or that there is nothing to be gained by just ""memorizing a bunch of stupid names and dates,"" I simply hold my tongue and smile to myself.
What I'm thinking is that, as cliche as it sounds, you do learn a great deals from history (and woe to those who fail to learn those lessons).
It is remarkable to think of the number of circumstances and situations in which even the most rudimentary knowledge of history will turn out to be invaluable.
Take, for example, the issue at hand here.
IS it better for a society to instill in future leaders a sense of competition or cooperation?
Those who have not examined leaders throughout time and across a number of fields might not have the ability to provide a thorough and convincing answer to this question, in spite of the fact that it is crucial to the future functioning of our society.
Looking closely at the question of leadership and how it has worked in the past, I would have to agree that the best way to prepare young people for leadership is to instill in them a sense of cooperation.

Let us look first at those leaders who have defined themselves based on their competitiveness.
Although at first glance it may appear that a leader must have a competitive edge in order to gain and then maintain a leadership position, I will make two points on this subject.
First, the desire to compete is an inherent part of human nature;
that is, it is not something that needs to be ""instilled"" in young people.
Is there anyone who does not compete in some way or another every single day?
You try to do better than others in your school work or at the office, or you try to do better than yourself in some way, to push yourself.
When societies instill competitiveness in their leaders, it only leads to trouble.
The most blatant example in this case is Adolf Hitler, who took competition to the very extreme, trying to prove that his race and his country were superior to all.
We do not, however, need to look that far to find less extreme examples (i.e., Hitler is not the extreme example that disproves the rule).
The recent economic meltdown was caused in no large part by the leaders of American banks and financial institutions who were obsessed with competing for the almighty dollar.
Tiger Woods, the ultimate competitor in recent golfing history and in many ways a leader who brought the sport of golf to an entirely new level, destroyed his personal life (and perhaps his career â€” still yet to be determined) by his overreaching sense that he could accomplish anything, whether winning majors or sleeping with as women as possible.
His history of competitiveness is well documented; his father pushed him from a very early age to be the ultimate competitor.
It served him well in some respects, but it also proved to be detrimental and ultimately quite destructive.

Leaders who value cooperation, on the other hand, have historically been less prone to these overreaching, destructive tendencies.
A good cased in point would be Abraham Lincoln.
Now, I am sure at this point you are thinking that Lincoln, who served as President during the Civil War and who refused to compromise with the South or allow secession, could not possibly be my model of cooperation.
Think, however, of the way Lincoln structured his Cabinet.
He did not want a group of ""yes men"" who would agree with every word he said, but instead he picked people who were more likely to disagree with his ideas.
And he respected their input, which allowed him to keep the government together in the North during a very tumultuous period (to say the least).

My point in choosing the Lincoln example is that competitiveness and conflict may play better to the masses and be more likely to be recorded in the history books, but it was his cooperative nature that allowed him to govern effectively.
Imagine if the CEO of a large company were never able to compromise and insisted that every single thing be done in exactly her way.
Very quickly she would lose the very people that a company needs in order to survive, people with new ideas, people ready to make great advances.
Without the ability to work constructively with those who have conflicting ideas, a leader will never be able to strike deals, reach consensus, or keep an enterprise on track.
Even if you are the biggest fish in the pond, it is difficult to force your will on others forever; eventually a bigger fish comes along (or the smaller fish team up against you!).

In the end, it seems most critical for society to instill in young people a sense of cooperation.
In part this is true because we seem to come by our competitive side more naturally, but cooperation is something we struggle to learn (just think of kids on the playground).
And although competitive victory is more showy, more often than not the real details of leadership come down to the ability ti work with other people, to compromise and cooperate.
Getting to be President of United States or the managing director of a corporation might require you to win some battles, but once you are there you will need diplomacy and people-skills.
Those can be difficult to learn, but if you do not have them, you are likely to be a shot-lived leader.",6,
30,"The best way for a society to prepare its young people for leadership in government, industry, or other fields is by instilling in them a sense of cooperation, not competition. Discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position.","Cooperation, the act of working as a group to achieve a collective goal, is an important value for young children to learn.
Another vital life lesson children can learn is how to be competitive, which is a mindset in which a person feels the need to accomplish more than another person.
Both are necessary to become well rounded individuals, but concerning preparing for a future in government, industry or various other fields, a sense of cooperation is much more important.

Wild not all children are overly competitive in nature, every person has some level of competitive drive inside them.
This is a natural thing and is perfectly normal.
Unfortunately, if this competitive nature is emphasized, the child will have problems relating socially to other children, and subsequently, will have issues interacting with adults later in life.
A fierce competitive drive will blind and individual, causing them to not see situations where group effort will be more greatly rewarded then an individual effort.
Take for instance the many teams of people working for NASA.
If the people that make up these teams were all out to prove that they were superior to others, out entire space program would be jeapordized.
One needs to look beyond at what will most benefit a broad group of people.
This is where a sense of cooperation in young children is vital.
Cooperation is taught at an early age and must be emphasized throughout life to fully embrace the concept.

In the would of sports a competitive drive is vital; unfortunately, life is not a sports game that simply leads to a winning or losing score.
Life is far more complex than this simple idea and there is no winner or loser designation to accompany it.
We all have to work together to come to a conclusion that will assist not just ourselves, but others and future generations.
In every scenario there will be individuals that have brilliant ideas, but those ideas require other people to build upon, perfect and implement.
Take for instance Bill Gates; Bill Gates is responsible for the Microsoft cooperation which he invented in his garage.
His competitive drive assisted in building his idea, but it was the collaborative effort of many people that helped propel his invention into the world known product it is today.
Without the cooperation of others, his genius invention might never have made it out of his garage.

It may be true that an individual can change the world, but only so far as to say that an individual can construct an idea that will inevitably change the world.
Once the idea is formulated, it then takes a team of people working collectively towards a common goal to make sure that the brilliant, life-altering idea makes it to furtuition.
Without the cooperation of many, an idea could simply remain as a picture on a drawing board.
It is because of this possibility that instilling a cooperative demeanor in children is much more important than developing a competitive attitude.
Competition is a natural thing that will develop with or without encouragement but the same cannot be said for a sense of cooperation.",5,
31,"Some people believe that corporations have a responsibility to promote the well-being of the socities and environments in which they operate.
Others believe that the only responsibility of corporations, provided they operate within the law, is to make as much money as possible. Discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position.","It is not uncommon for some to argue that, in the world in which we live, corporations have a responsibility to society and to the environment in which they operate.
Proponents of this view would argue that major environmental catastrophes (e.g., the oil spill in the Gulf) are key examples of the damage that can be wrought when corporations are allowed to operate unchecked.
Yet within that very statement lies a contradiction that undermines this kind of thinkingâ€”it is necessary for outside forces to check the behavior of corporations, because we do not expect corporations to behave in such manner.
In fact, the expectation is simply that corporations will follow the law, and in the course of doing so, engage in every possible tactic to their advantage in the pursuit of more and greater profit.
To expect otherwise from corporations is to fail to understand their purpose and their very structure.

The corporation arose as a model of business in which capital could be raised through the contributions of stockholders: investors purchase shares in a company, and their money is then used as the operating capital for the company.
Shareholders buy stock not because they are hoping to better make the world a better place or because they have a desire to improve the quality of life but because they expect to see a return in their investment in this company.
The company may itself have generally altruistic goals (perhaps it is a think tank that advises the government on how to improve relations with the Middle East, or perhaps it is a company built around finding alternative forms of energy), but the immediate expectation of the investor is that himself will see dividends, or profits, from the investment he has made.
This is even more true in the case of companies that are purely profit driven and which do not have goals that are particularly directed toward social environmentâ€”a description that applies to the vast majority of corporations.

Is it a bad thing to have a corporation negatively affect the environment (and by extension, its inhabitants)?
To pump noxious fumes into the atmosphere as a by-product of its manufacturing process?
Of course, and this is why agencies such as the EPA were established and why governmentsâ€”federal, state and localâ€”are expected to monitor such companies.
Any and all corporations should be expected to temper their input pursuit of profit with the necessity of following those safeguards that have been legislated as protections.
But the assumption that corporations have a inherent obligation or responsibility to go above and beyond that to actively PROMOTE the environment and the well-being of society is absurd.

Engaging in practices to adhere to legal expectations to protect society and the environment is costly to corporations.
If the very purpose of a corporation is to generate profits, and the obligation to adhere to safety expectations established by law cuts into those profits, then to expect corporations to embrace such practices beyond what is required to presume that they willingly engage in an inherently self-destructive process: the unnecessary lowering of profits.
This is antithetical to the very concept of the corporation.
Treehuggers everywhere should be pleased that environmental protections exist, but to expect corporations to ""make the world a better place"" is to embrace altruism to the point that it becomes delusion.

This is not to say that we should reject efforts to hold corporations accountable.
In fact, the opposite is trueâ€”we should be vigilant with the business world and maintain our expectations that corporations do not make their profits at the EXPENSE of the well-being of society.
But that role must be fulfilled by a watchdog, not the corporation itself, and those expectations mush be imposed UPON the corporations, not expected FROM them.",6,
32,"Some people believe that corporations have a responsibility to promote the well-being of the socities and environments in which they operate.
Others believe that the only responsibility of corporations, provided they operate within the law, is to make as much money as possible. Discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position.","In order to survive, corporations must make money.
Successful corporations try and make as much money as possible.
Yet this incentive to make money does not mean that a corporation can be detriment to the society in which it operates.
Corporations have a duty and a responsibility to ensure the well being of the society in which they are a part.

Contributing to the well being of a society is actually beneficial to a corporation in many cases.
One of these is making sure that workers are well taken care of.
Absenteeism and neglect while on duty are a big problem for corporations, as is attracting the best workers, who hopefully will lower the risks caused by absenteeism and neglect.

One way that corporations can attract these workers is by offering them generous benefits.
If, for example, an employer includes with enployment a good health plan, they will be able to attract better workers than one that does not, and that will aid the corporation greatly.
Health care plans provided by employers mean that these people have at their disposal health coverage, which means that they have the care they need if they get sick.
This also might encourage perventive care, something that has been shown to reduce the cost and risk of developing other major ailments.

Another area where corporations providing support for themselves and society is in the creation of human capital.
Globolization and increased education means that employers need a better educated workforce more than ever.
One way that employers can contribute to this is by sponsoring worker training programs, or paying for their emplyees to return to school.
This creates a more educated workforce for employers, as well as may increase the loyalty of employees to an employer.
An employee who received an education sponsored by an employer may be thankful for receiving that education, and may work harder for that employer.
This creates a benefit for employers and employees.

The main reason that corporations have a duty to contribute to the well being of society is that they are a part of the society.
Even though they have an economic desire to make a profit, corporations also should think long term about actions they take which could hurt their company.
A good example of this is BP, after the recent oil spill in the gulf.
Their desire to make a profit meant that they did not keep up on all of their safety regulations and standard, and the result of the then faulty of equipment caused a massive spill.
This cost them huge amounts of money to clean up, as well as the fines they had to pay for causing this.
The biggest loss for BP however is that their brand name will be associated in the US and abroad as the company that caused this guabt oil spill.
As that spill was happening, many people boycotted that company, resulting in lost potential revenue.
They may realize that as they lose business to people upset by the spill, that making sure a spill didn't happen in the first place was cheaper.

Another reason corporations have to ensure the well-being of a society is that by making a society better off, a company may have more consumers.
This is especially true for corporations that sell goods for middle and upper class consumers.
If a corporation tries to bring people up and increase the overall economic well being of society, they may find that more and more people have the ability to afford their goods.
This could generate huge new profitsd for this corporation, since their pool of potential consumers has gone up considerably.
Concentrating on the long term here means that corporations can increase their pool of potential consumers.

By denying responsibility to a society, a corporation is only looking as the possible short term profits, not the potential long term ones.
While in the short term it may work for a corporation to ignore their societal responsibility, it is adventageous in the long term for the entire corporation to make sure society is getting better.
The potential for new markets, products, production processes and other beneficial factors that come from promoting well being is quite large.
This is something that corporations should be ready and willing to take advantage of, and something that society should hold them accountable for.",5,
33,"We can usually learn much more from people whose views we share than from people whose views contradict our own.
Disagreement can cause stress and inhibit learning. Discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position.","Do we learn more from people whose ideas we share in common than from those whose ideas contradict ours?
The speaker daims so, for the reason that disagreement can cause stress and inhibit learning.
I concede that undue discord can impede learning.
Otherwise, in my view we learn far more from discourse and debate with those whose ideas we oppose than from people whose ideas are in accord with our own.

Admittedly, under some circumstances disagreement with others can be counterproductive to learning.
For supporting examples one need look no further than a television set.
On today's typical television or radio talk show, disagreement usually manifests itself in meaningless
rhetorical bouts and shouting matches, during which opponents vie to have their own message heard, but have little interest either in finding common ground with or in acknowledging the merits of the opponent's viewpoint.
Understandably, neither the combatants nor the viewers learn anything meaningful.
In fact, these battles only serve to reinforce the predispositions and biases of all concerned.
The end result is that learning is impeded.

Disagreement can also inhibit learning when two opponents disagree on fundamental assumptions needed for meaningful discourse and debate.
For example, a student of paleontology learns little about the evolution of an animal species under current study by debating with an individual whose religious belief system precludes the possibility of evolution
to begin with.
And, economics and finance students learn little about the dynamics of a laissez-faire system by debating with a socialist whose view is that a centralized power should
control all economic activity.

Aside from the foregoing two provisos, however, I fundamentally disagree with the speaker's claim.
Assuming common ground between two rational and reasonable opponents willing to debate on intellectual merits, both opponents stand to gain much from that debate.
Indeed it is primarily through such debate that human knowledge advances, whether at the personal, community, or global level.

At the personal level, by listening to their parents' rationale for their seemingly oppressive rules and policies teenagers can learn how certain behaviors naturally carry certain undesirable consequences.
At the same time, by listening to their teenagers concerns about autonomy and about peer pressures parents can learn the valuable lesson that effective parenting and control are two different things.
At the community level, through dispassionate dialogue an environmental activist can come to understand the legitimate economic concerns of those whose jobs depend on the continued profitable operation of a factory.
Conversely, the latter might stand to learn much about the potential public health price to be paid by ensuring job growth and a low unemployment rate.
Finally, at the global level, two nations with opposing political or economic interests can reach mutually beneficial agreements by striving to understand the other's legitimate concerns for its national security, its political sovereignty, the stability of its economy and currency, and so forth.

In sum, unless two opponents in a debate are each willing to play on the same field and by the same rules, I concede that disagreement can impede learning.
Otherwise, reasoned discourse and debate between people with opposing viewpoints is the very foundation upon which human knowledge advances.
Accordingly, on balance the speaker is fundamentally correct.",6,
34,"No field of study can advance significantly unless outsiders bring their knowledge and experience to that field of study. Discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position.","I strongly agree with the assertion that significant advances in knowledge require expertise from various fields.
The world around us presents a seamless web of physical and anthropogenic forces, which interact in ways that can be understood only in the context of a variety of disciplines.
Two examples that aptly illustrate this point involve the fields of cultural anthropology and astronomy.

Consider how a cultural anthropologist's knowledge about an ancient civilization is enhanced not only by the expertise of the archeologistâ€”who unearths the evidenceâ€”but ultimately by the expertise of biochemists, geologists, linguists, and even astronomers.
By analyzing the hair, nails, blood and bones of mummified bodies, biochemists and forensic scientists can determine the life expectancy, general well-being, and common causes of death of the population.
These experts can also ensure the proper preservation of evidence found at the archeological site.
A geologist can help identify the source and age of the materials used for tools, weapons, and structuresâ€”thereby enabling the anthropologist to extrapolate about the civilization's economy, trades and work habits, life styles, extent of travel and mobility, and so forth.
Linguists are needed to interpret hieroglyphics and extrapolate from found fragments of writings.
And an astronomer can help explain the layout of an ancient city as well as the design, structure and position of monuments, tombs, and templesâ€”since ancients often looked to the stars for guidance in building cities and structures.

An even more striking example of how expertise in diverse fields is needed to advance knowledge involves the area of astronomy and space exploration.
Significant advancements in our knowledge of the solar system and the universe require increasingly keen tools for observation and measurement.
Telescope technology and the measurement of celestial distances, masses, volumes, and so forth, are the domain of astrophysicists.

These advances also require increasingly sophisticated means of exploration.
Manned and unmanned exploratory probes are designed by mechanical, electrical, and computer engineers.
And to build and enable these technologies requires the acumen and savvy of business leaders, managers, and politicians.
Even diplomats might play a roleâ€”insofar as major space projects require intemafional cooperative efforts among the world's scientists and governments.
And ultimately it is our philosophers whose expertise helps provide meaning to what we learn about our universe.

In sum, no area ofinteUectual inquiry operates in a vacuum.
Because the sciences are inextricably related, to advance our knowledge in any one area we must understand the interplay among them all.
Moreover, it is our non-scienfists who make possible the science, and who bring meaning to what we learn from it.",6,
35,"A nation should require all its students to study the same national curriculum until they enter college rather than allow schools in different parts of the nation to determine which academic courses to offer. Discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position.","The speaker would prefer a national curriculum for all children up until college instead of allowing schools in different regions the freedom to decide on their own curricula.
I agree insofar as some common core curriculum would serve useful purposes for any nation.
At the same time, however, individual states and communities should have some freedom to augment any such curriculum as they see fit; otherwise, a nation's educational system might defeat its own purposes in the long tenn.

A national core curriculum would be beneficial to a nation in a number of respects.
First of all, by providing all children with fundamental skills and knowledge, a common core curriculum would help ensure that our children grow up to become reasonably informed, productive members of society.
In addition, a common core curriculum would provide a predictable foundation upon which college administrators and faculty could more easily build curricula and select course materials for freshmen that are neither below nor above their level of educational experience.
Finally, a core curriculum would ensure that all school-children are taught core values upon which any democratic society depends to thrive, and even surviveâ€”values such as tolerance of others with different viewpoints, and respect for others.

However, a common curriculum that is also an exdusive one would pose certain problems, which might outweigh the benefits, noted above.
First of all, on what basis would certain course work be included or excluded, and who would be the final decision- maker? In all likelihood these decisions would be in the hands of federal legislators and regulators, who are likely to have their own quirky notions of what should and should not be taught to childrenâ€”notions that may or may not reflect those of most communities, schools, or parents.

Besides, government officials are notoriously susceptible to influence-peddling by lobbyists who do not have the best interests of society's children in mind.

Secondly, an official, federally sanctioned curriculum would facilitate the dissemination of propaganda and other dogma which because of its biased and one-sided nature undermines the very purpose of true education: to enlighten.
I can easily foresee the banning of certain text books, programs, and websites which provide information and perspectives that the government might wish to suppressâ€”as some sort of threat to its authority and power.

Although this scenario might seem far-fetched, these sorts of concerns are being raised already at the state level.

Thirdly, the inflexible nature of a uniform national curriculum would preclude the inclusion of programs, courses, and materials that are primarily of regional or local significance.
For example, California requires children at certain grade levels to learn about the history of particular ethnic groups who make up the state's diverse population.
A national curriculum might not allow for this feature, and California's youngsters would be worse off as a result of their ignorance about the traditions, values, and cultural contributions of all the people whose citizenship they share.

Finally, it seems to me that imposing a uniform national curriculum would serve to undermine the authority of parents over their own children, to even a greater extent than uniform state laws currently do.
Admittedly, laws requiring parents to ensure that their children receive an education that meets certain minimum standards are well-justified, for the reasons mentioned earlier.
However, when such standards are imposed by the state rather than at the community level parents are left with far less power to participate meaningfully in the decision-making process.
This problem would only be exacerbated were these decisions left exclusively to federal regulators.

In the final analysis, homogenization of elementary and secondary education would amount to a double-edged sword.
While it would serve as an insurance policy against a future populated with illiterates and ignoramuses, at the same time it might serve to obliterate cultural diversity and tradition.
The optimal federal approach, in my view, is a balanced one that imposes a basic curriculum yet leaves the rest up to each stateâ€”or better yet, to each community.",6,
